trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
347,False,"{'e': 0.03111703066106086, 'a': 0.1}",25,20,12.676046096481684,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'e': 0.030807411032751076, 'a': 0.1}",25,16,14.82247443364823,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'e': 0.030500872171217483, 'a': 0.1}",25,17,16.49931966584412,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'e': 0.0301973834223185, 'a': 0.1}",30,8,23.103521398338994,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
351,False,"{'e': 0.029896914436926308, 'a': 0.1}",30,20,17.683806001211643,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'e': 0.029599435167892, 'a': 0.1}",30,20,22.19262175281713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'e': 0.029304915867040746, 'a': 0.1}",20,12,18.233730102259333,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'e': 0.029013327082197053, 'a': 0.1}",20,14,9.805354882002725,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'e': 0.028724639654239423, 'a': 0.1}",30,19,17.41968122668711,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'e': 0.028438824714184505, 'a': 0.1}",30,16,25.013871466427762,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'e': 0.028155853680300096, 'a': 0.1}",20,13,10.968917890849337,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'e': 0.027875698255247015, 'a': 0.1}",30,24,10.457437908495617,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'e': 0.027598330423249287, 'a': 0.1}",20,12,14.56458441742247,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'e': 0.02732372244729256, 'a': 0.1}",25,17,16.50139635909892,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'e': 0.027051846866350416, 'a': 0.1}",25,18,15.977170129827838,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'e': 0.026782676492638175, 'a': 0.1}",20,11,16.925090928773855,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'e': 0.02651618440889418, 'a': 0.1}",30,20,20.267201909657572,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'e': 0.02625234396568796, 'a': 0.1}",20,6,24.93525971450276,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'e': 0.025991128778755347, 'a': 0.1}",20,8,20.651436388339103,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'e': 0.02573251272635994, 'a': 0.1}",30,0,47.971004308349784,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
367,False,"{'e': 0.025476469946681016, 'a': 0.1}",25,14,16.442161522286995,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'e': 0.025222974835227212, 'a': 0.1}",30,14,28.698240087254632,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
369,False,"{'e': 0.024972002042276155, 'a': 0.1}",30,16,-17.76882630101233,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
370,False,"{'e': 0.024723526470339388, 'a': 0.1}",20,14,10.878234386075228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'e': 0.02447752327165267, 'a': 0.1}",20,14,12.397330573652997,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'e': 0.024233967845691113, 'a': 0.1}",35,24,15.592742179813584,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'e': 0.023992835836709175, 'a': 0.1}",20,15,11.765655471177384,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'e': 0.023754103131304997, 'a': 0.1}",20,8,23.52868118144738,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
375,False,"{'e': 0.023517745856009107, 'a': 0.1}",20,8,21.9387818424361,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'e': 0.023283740374897, 'a': 0.1}",25,7,32.765428505117505,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'e': 0.02305206328722557, 'a': 0.1}",20,7,21.312923034454247,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'e': 0.02282269142509297, 'a': 0.1}",30,19,20.653022657680367,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'e': 0.022595601851121864, 'a': 0.1}",20,13,15.547564799992312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'e': 0.02237077185616559, 'a': 0.1}",20,6,27.151472062666866,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'e': 0.022148178957037315, 'a': 0.1}",20,12,-28.061967282122886,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
382,False,"{'e': 0.02192780089426161, 'a': 0.1}",25,0,38.67772505905855,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
383,False,"{'e': 0.02170961562984857, 'a': 0.1}",25,19,9.677277756061587,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'e': 0.021493601345089923, 'a': 0.1}",20,15,8.154411270566161,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'e': 0.02127973643837717, 'a': 0.1}",25,15,19.575179239986774,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'e': 0.021067999523041434, 'a': 0.1}",25,10,25.13056209578409,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'e': 0.020858369425214716, 'a': 0.1}",20,10,21.879880726334676,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'e': 0.020650825181712566, 'a': 0.1}",25,12,20.21975082531757,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'e': 0.020445346037937653, 'a': 0.1}",20,9,21.94802669217409,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'e': 0.02024191144580439, 'a': 0.1}",20,11,3.609487605776299,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
391,False,"{'e': 0.020040501061684014, 'a': 0.1}",20,13,13.016982161641614,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'e': 0.019841094744370288, 'a': 0.1}",25,0,33.477522789694966,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
393,False,"{'e': 0.019643672553065292, 'a': 0.1}",25,11,26.84508654524296,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'e': 0.01944821474538539, 'a': 0.1}",20,2,25.03351061416654,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'e': 0.01925470177538692, 'a': 0.1}",25,0,23.55828048820739,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
396,False,"{'e': 0.019063114291611637, 'a': 0.1}",20,10,16.115484163247082,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'e': 0.018873433135151486, 'a': 0.1}",25,14,20.344362984090676,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
